value,datetime
8511.1673409003,2020-11-10 03:10:00
8107.9372032443625,2020-11-17 03:10:00
7508.513189318402,2020-11-24 03:10:00
7415.169591251829,2020-12-01 03:10:00
8986.550116910796,2020-12-08 03:10:00
9017.936731172309,2020-12-15 03:10:00
11178.019338562537,2020-12-22 03:10:00
8755.099577624576,2020-12-29 03:10:00
11626.940368538704,2021-01-05 03:10:00
12132.243950465268,2021-01-12 03:10:00
11203.307453304695,2021-01-19 03:10:00
11222.805246147916,2021-01-26 03:10:00
9307.859594593006,2021-02-02 03:10:00
8695.91389436309,2021-02-09 03:10:00
8429.74712457805,2021-02-16 03:10:00
9535.754603884568,2021-02-23 03:10:00
10802.083794025832,2021-03-02 03:10:00
8926.654600036862,2021-03-09 03:10:00
8731.321619395841,2021-03-16 03:10:00
8864.225532259263,2021-03-23 03:10:00
8577.361577663492,2021-03-30 03:10:00
8276.109332743923,2021-04-06 03:10:00
7690.2054740301555,2021-04-13 03:10:00
8413.514822859128,2021-04-20 03:10:00
8929.974712196836,2021-04-27 03:10:00
8494.268299321448,2021-05-04 03:10:00
7601.411416347977,2021-05-11 03:10:00
7969.754110376224,2021-05-18 03:10:00
7937.954222754984,2021-05-25 03:10:00
7908.210496252512,2021-06-01 03:10:00
7621.800322849282,2021-06-08 03:10:00
6222.021922472025,2021-06-15 03:10:00
6659.228336092215,2021-06-22 03:10:00
6879.263745471286,2021-06-29 03:10:00
6725.865555597475,2021-07-06 03:10:00
5163.77423878158,2021-07-13 03:10:00
7767.839481678798,2021-07-20 03:10:00
6860.374273490121,2021-07-27 03:10:00
7051.386670787324,2021-08-03 03:10:00
6191.280702396223,2021-08-10 03:10:00
4264.923543483077,2021-08-17 03:10:00
4178.90395024246,2021-08-24 03:10:00
4605.3041766084025,2021-08-31 03:10:00
4617.84893464148,2021-09-07 03:10:00
3812.5479241719436,2021-09-14 03:10:00
3926.8544618571323,2021-09-21 03:10:00
4178.383966429469,2021-09-28 03:10:00
4245.792370908081,2021-10-05 03:10:00
5233.124896744178,2021-10-12 03:10:00
5710.778438884869,2021-10-19 03:10:00
5794.0899868850975,2021-10-26 03:10:00
7160.809683727526,2021-11-02 03:10:00
7157.009681319494,2021-11-09 03:10:00
7484.489932334858,2021-11-16 03:10:00
8009.907737497183,2021-11-23 03:10:00
9564.472511507665,2021-11-30 03:10:00
14457.144789520273,2021-12-07 03:10:00
14681.959850374926,2021-12-14 03:10:00
16183.364770272738,2021-12-21 03:10:00
13199.53608875827,2021-12-28 03:10:00
14090.544440181511,2022-01-04 03:10:00
13551.05649349008,2022-01-11 03:10:00
11457.267496871793,2022-01-18 03:10:00
11265.38599434783,2022-01-25 03:10:00
9486.576001987647,2022-02-01 03:10:00
8918.236431296158,2022-02-08 03:10:00
8610.457675588634,2022-02-15 03:10:00
9981.45013716146,2022-02-22 03:10:00
10760.361056067235,2022-03-01 03:10:00
9191.463778664014,2022-03-08 03:10:00
8797.598598290306,2022-03-15 03:10:00
9223.735510927581,2022-03-22 03:10:00
8852.81620266829,2022-03-29 03:10:00
8535.113196770202,2022-04-05 03:10:00
7968.483305547475,2022-04-12 03:10:00
8891.488028127515,2022-04-19 03:10:00
9158.951842736315,2022-04-26 03:10:00
8700.602623073502,2022-05-03 03:10:00
7915.2588617166375,2022-05-10 03:10:00
7198.50129431424,2022-05-17 03:10:00
7060.646260768165,2022-05-24 03:10:00
7251.51065416463,2022-05-31 03:10:00
7039.122080849223,2022-06-07 03:10:00
6363.273375990191,2022-06-14 03:10:00
6898.4715656409235,2022-06-21 03:10:00
7609.3951616949735,2022-06-28 03:10:00
6792.402344638298,2022-07-05 03:10:00
5696.369537772142,2022-07-12 03:10:00
8597.728796544507,2022-07-19 03:10:00
7569.823321648669,2022-07-26 03:10:00
7661.128224426388,2022-08-02 03:10:00
7106.247812769075,2022-08-09 03:10:00
5453.035673111759,2022-08-16 03:10:00
4873.557370638682,2022-08-23 03:10:00
5062.301314992261,2022-08-30 03:10:00
5251.890597180123,2022-09-06 03:10:00
4084.724276348664,2022-09-13 03:10:00
5021.044846481998,2022-09-20 03:10:00
5458.1268583296,2022-09-27 03:10:00
5269.058461519455,2022-10-04 03:10:00
6144.44822003244,2022-10-11 03:10:00
6444.623100531588,2022-10-18 03:10:00
5976.349089251202,2022-10-25 03:10:00
7090.720005336599,2022-11-01 03:10:00
7894.72683774162,2022-11-08 03:10:00
7852.462665062025,2022-11-15 03:10:00
8594.663655187896,2022-11-22 03:10:00
9741.386222052512,2022-11-29 03:10:00
11815.091134627724,2022-12-06 03:10:00
13271.142028009788,2022-12-13 03:10:00
14584.974169658955,2022-12-20 03:10:00
11421.746250577571,2022-12-27 03:10:00
13093.365561767456,2023-01-03 03:10:00
11731.520835096268,2023-01-10 03:10:00
10368.994788624934,2023-01-17 03:10:00
10402.07593350438,2023-01-24 03:10:00
8616.680482194182,2023-01-31 03:10:00
9954.14366969244,2023-02-07 03:10:00
8614.88399854439,2023-02-14 03:10:00
10884.312775987548,2023-02-21 03:10:00
10422.386126979542,2023-02-28 03:10:00
10092.454445594827,2023-03-07 03:10:00
8839.693439261617,2023-03-14 03:10:00
9842.057568059849,2023-03-21 03:10:00
9888.073124388708,2023-03-28 03:10:00
9120.928795780032,2023-04-04 03:10:00
8323.09741183087,2023-04-11 03:10:00
8322.192615618726,2023-04-18 03:10:00
8899.156268124492,2023-04-25 03:10:00
8825.74093641224,2023-05-02 03:10:00
7971.94986256723,2023-05-09 03:10:00
7164.783774689206,2023-05-16 03:10:00
7171.361310329687,2023-05-23 03:10:00
7336.906085925282,2023-05-30 03:10:00
7193.207390212558,2023-06-06 03:10:00
6369.721110912868,2023-06-13 03:10:00
7952.5705571353255,2023-06-20 03:10:00
7461.021934908715,2023-06-27 03:10:00
6979.063601536111,2023-07-04 03:10:00
6249.036254512869,2023-07-11 03:10:00
6238.801026036599,2023-07-18 03:10:00
6598.885780499879,2023-07-25 03:10:00
7599.113766860197,2023-08-01 03:10:00
6733.872035842998,2023-08-08 03:10:00
4737.488395613378,2023-08-15 03:10:00
6244.785318555527,2023-08-22 03:10:00
5219.498676137637,2023-08-29 03:10:00
5899.221780387131,2023-09-05 03:10:00
4260.737697175157,2023-09-12 03:10:00
5827.844530285842,2023-09-19 03:10:00
6884.067727092349,2023-09-26 03:10:00
5372.523419349394,2023-10-03 03:10:00
6937.442197987248,2023-10-10 03:10:00
7361.225606639068,2023-10-17 03:10:00
7079.351379921386,2023-10-24 03:10:00
8981.50836930228,2023-10-31 03:10:00
9953.311422283938,2023-11-07 03:10:00
9063.735800271636,2023-11-14 03:10:00
10059.06627317601,2023-11-21 03:10:00
10442.23948417822,2023-11-28 03:10:00
10920.235217664187,2023-12-05 03:10:00
12552.987326024842,2023-12-12 03:10:00
13563.211427804907,2023-12-19 03:10:00
9565.453659389304,2023-12-26 03:10:00
12204.352660457644,2024-01-02 03:10:00
9569.75272509034,2024-01-09 03:10:00
9364.154446486238,2024-01-16 03:10:00
10135.552336513309,2024-01-23 03:10:00
8514.113206450564,2024-01-30 03:10:00
8433.17008956464,2024-02-06 03:10:00
7979.49911714952,2024-02-13 03:10:00
10106.755922592227,2024-02-20 03:10:00
10140.46622473696,2024-02-27 03:10:00
10296.85354285289,2024-03-05 03:10:00
8936.547238481344,2024-03-12 03:10:00
9772.877313700834,2024-03-19 03:10:00
9631.417745689287,2024-03-26 03:10:00
9205.675712521997,2024-04-02 03:10:00
8364.816187855167,2024-04-09 03:10:00
7886.137056816662,2024-04-16 03:10:00
7949.50576213103,2024-04-23 03:10:00
8255.734339965427,2024-04-30 03:10:00
7472.542474583993,2024-05-07 03:10:00
7128.050517194189,2024-05-14 03:10:00
7499.6306682195545,2024-05-21 03:10:00
8058.876753269524,2024-05-28 03:10:00
7644.058487547455,2024-06-04 03:10:00
7125.2049462032655,2024-06-11 03:10:00
7044.532813014012,2024-06-18 03:10:00
7296.738137224824,2024-06-25 03:10:00
7670.964189581777,2024-07-02 03:10:00
7421.763424688794,2024-07-09 03:10:00
5628.184801765158,2024-07-16 03:10:00
5039.898686595084,2024-07-23 03:10:00
5853.5629727844425,2024-07-30 03:10:00
5914.310686776332,2024-08-06 03:10:00
4616.967230733398,2024-08-13 03:10:00
9040.829931252614,2024-08-20 03:10:00
7924.813452729786,2024-08-27 03:10:00
8142.880359547604,2024-09-03 03:10:00
6857.976078978622,2024-09-10 03:10:00
7629.383540182737,2024-09-17 03:10:00
8630.815769230185,2024-09-24 03:10:00
5925.0194513868455,2024-10-01 03:10:00
8540.319143956298,2024-10-08 03:10:00
7961.304734993279,2024-10-15 03:10:00
7571.594437557564,2024-10-22 03:10:00
9264.308795875913,2024-10-29 03:10:00
8441.708335868847,2024-11-05 03:10:00
8390.499503095474,2024-11-12 03:10:00
9181.05428799002,2024-11-19 03:10:00
7239.248489248706,2024-11-26 03:10:00
9208.409656444632,2024-12-03 03:10:00
11022.13389819212,2024-12-10 03:10:00
9708.190991260932,2024-12-17 03:10:00
8096.392919926609,2024-12-24 03:10:00
7538.384084397831,2024-12-31 03:10:00
10327.559530778979,2025-01-07 03:10:00
9152.891412520552,2025-01-14 03:10:00
12016.552752888914,2025-01-21 03:10:00
11154.637500473615,2025-01-28 03:10:00
9970.64850691481,2025-02-04 03:10:00
9730.633665053403,2025-02-11 03:10:00
10106.581163948573,2025-02-18 03:10:00
10322.58182399452,2025-02-25 03:10:00
11043.125801580316,2025-03-04 03:10:00
9542.453755818984,2025-03-11 03:10:00
9639.850635364168,2025-03-18 03:10:00
9457.659675493143,2025-03-25 03:10:00
9049.827594319568,2025-04-01 03:10:00
8368.87065853602,2025-04-08 03:10:00
7617.047358952153,2025-04-15 03:10:00
8175.9900344694215,2025-04-22 03:10:00
8230.71814549154,2025-04-29 03:10:00
7725.0088552029965,2025-05-06 03:10:00
7034.315521123933,2025-05-13 03:10:00
8218.370703749337,2025-05-20 03:10:00
7918.6502619390685,2025-05-27 03:10:00
7823.572542786253,2025-06-03 03:10:00
7579.697304417495,2025-06-10 03:10:00
6127.907962247613,2025-06-17 03:10:00
5972.591864381187,2025-06-24 03:10:00
7674.6951277713815,2025-07-01 03:10:00
7139.296880939071,2025-07-08 03:10:00
5091.955105875724,2025-07-15 03:10:00
6104.681705572844,2025-07-22 03:10:00
6013.357092605616,2025-07-29 03:10:00
6145.358300617792,2025-08-05 03:10:00
5038.731291678812,2025-08-12 03:10:00
10423.774337859073,2025-08-19 03:10:00
9645.902899599996,2025-08-26 03:10:00
9728.098230857318,2025-09-02 03:10:00
10117.113168795808,2025-09-09 03:10:00
10080.449687781744,2025-09-16 03:10:00
9444.147027811136,2025-09-23 03:10:00
7754.205556602186,2025-09-30 03:10:00
7818.514163477755,2025-10-07 03:10:00
8023.033328237863,2025-10-14 03:10:00
8024.61588891562,2025-10-21 03:10:00
9238.740162021642,2025-10-28 03:10:00
9122.460716228414,2025-11-04 03:10:00
8816.09319492036,2025-11-11 03:10:00
8473.94244508354,2025-11-18 03:10:00
6986.057145853362,2025-11-25 03:10:00
7269.715370856091,2025-12-02 03:10:00
7497.359410140987,2025-12-09 03:10:00
7169.522353851402,2025-12-16 03:10:00
7704.537191744915,2025-12-23 03:10:00
7332.44679498396,2025-12-30 03:10:00
8757.821238072778,2026-01-06 03:10:00
8114.243907290558,2026-01-13 03:10:00
11259.155952276788,2026-01-20 03:10:00
10635.601329258621,2026-01-27 03:10:00
9738.34042086722,2026-02-03 03:10:00
8779.161372306402,2026-02-10 03:10:00
9354.271965900218,2026-02-17 03:10:00
9674.340806970622,2026-02-24 03:10:00
10964.00487788134,2026-03-03 03:10:00
9025.716442969533,2026-03-10 03:10:00
9088.087775895172,2026-03-17 03:10:00
8977.618750184392,2026-03-24 03:10:00
8614.800909169066,2026-03-31 03:10:00
8047.22360829348,2026-04-07 03:10:00
7840.622582213192,2026-04-14 03:10:00
8159.060684395733,2026-04-21 03:10:00
9038.482444167379,2026-04-28 03:10:00
7819.862687300895,2026-05-05 03:10:00
7342.021377726775,2026-05-12 03:10:00
8665.985147861194,2026-05-19 03:10:00
8404.880592926258,2026-05-26 03:10:00
7970.260227599297,2026-06-02 03:10:00
7734.4464444659925,2026-06-09 03:10:00
6216.254251618724,2026-06-16 03:10:00
5957.183569193274,2026-06-23 03:10:00
6729.46295762441,2026-06-30 03:10:00
6321.381161794282,2026-07-07 03:10:00
4548.674114574584,2026-07-14 03:10:00
6835.555992015075,2026-07-21 03:10:00
6739.6397775283685,2026-07-28 03:10:00
6445.533516974844,2026-08-04 03:10:00
